timestamp,pnl,long_call,short_call,long_put,short_put,long_call_ltp,short_call_ltp,long_put_ltp,short_put_ltp,hedge_call,hedge_put,hedge_call_ltp,hedge_put_ltp,long_call_entry,short_call_entry,long_put_entry,short_put_entry,hedge_call_qty,hedge_put_qty,qty_long,qty_short,net_credit,shift_points
2025-07-27 15:16:00,5752.5,25250,25050,24450,24650,0.0,0.0,0.0,0.0,25850,23850,0.0,0.0,31.55,50.45,27.8,47.45,2,2,1,3,5752.5,0
2025-07-28 15:16:00,-2444.999999999999,25250,25050,24450,24650,30.25,27.4,26.9,77.3,25850,23850,30.25,16.25,31.55,50.45,27.8,47.45,2,2,1,3,5752.5,0
2025-07-29 15:16:00,3197.5,25250,25050,24450,24650,11.2,21.1,9.55,20.35,25850,23850,11.2,15.05,31.55,50.45,27.8,47.45,2,2,1,3,5752.5,0
2025-08-22 15:16:00,0.0,25250,25050,24450,24650,20.95,55.0,23.4,37.75,25850,23850,21.05,23.4,20.95,55.0,23.4,37.75,2,2,1,3,7250.0,0
2025-08-23 15:16:00,7250.0,25250,25050,24450,24650,0.0,0.0,0.0,0.0,25850,23850,0.0,0.0,20.95,55.0,23.4,37.75,2,2,1,3,7250.0,0
2025-08-24 15:16:00,7250.0,25250,25050,24450,24650,0.0,0.0,0.0,0.0,25850,23850,0.0,0.0,20.95,55.0,23.4,37.75,2,2,1,3,7250.0,0
2025-08-25 15:16:00,1140.0000000000007,25250,25050,24450,24650,11.45,53.4,11.0,7.75,25850,23850,8.4,11.0,20.95,55.0,23.4,37.75,2,2,1,3,7250.0,0
2025-08-26 15:16:00,3122.5,25250,25050,24450,24650,6.8,10.2,8.75,32.0,25850,23850,6.8,7.45,20.95,55.0,23.4,37.75,2,2,1,3,7250.0,0
2025-09-26 15:16:00,0.0,25050,24850,24250,24450,14.65,33.4,11.7,19.9,25650,23650,18.4,11.7,14.65,33.4,11.7,19.9,2,2,1,3,3667.5,0
2025-09-27 15:16:00,3667.5,25050,24850,24250,24450,0.0,0.0,0.0,0.0,25650,23650,0.0,0.0,14.65,33.4,11.7,19.9,2,2,1,3,3667.5,0
2025-09-28 15:16:00,3667.5,25050,24850,24250,24450,0.0,0.0,0.0,0.0,25650,23650,0.0,0.0,14.65,33.4,11.7,19.9,2,2,1,3,3667.5,0
2025-09-29 15:16:00,2310.0,25050,24850,24250,24450,5.05,11.9,4.15,6.75,25650,23650,5.65,4.15,14.65,33.4,11.7,19.9,2,2,1,3,3667.5,0
2025-09-30 15:16:00,4065.0,25050,24850,24250,24450,2.75,0.05,0.05,0.1,25650,23650,2.75,0.05,14.65,33.4,11.7,19.9,2,2,1,3,3667.5,0
2025-10-24 15:16:00,0.0,26200,26000,25400,25600,21.4,35.3,16.9,23.55,26800,24800,21.4,16.9,21.4,35.3,16.9,23.55,2,2,1,3,3082.5,0
2025-10-25 15:16:00,3082.5,26200,26000,25400,25600,0.0,0.0,0.0,0.0,26800,24800,0.0,0.0,21.4,35.3,16.9,23.55,2,2,1,3,3082.5,0
2025-10-26 15:16:00,3082.5,26200,26000,25400,25600,0.0,0.0,0.0,0.0,26800,24800,0.0,0.0,21.4,35.3,16.9,23.55,2,2,1,3,3082.5,0
2025-10-27 15:16:00,-8002.500000000001,26200,26000,25400,25600,17.65,84.95,7.6,7.6,26800,24800,7.75,7.6,21.4,35.3,16.9,23.55,2,2,1,3,3082.5,0
2025-10-28 15:16:00,3452.5,26200,26000,25400,25600,0.2,0.30000000000000004,0.45,0.15,26800,24800,3.6,0.45,21.4,35.3,16.9,23.55,2,2,1,3,3082.5,0
