date,weekday,entry_attempted,entry_outcome,entry_block_reason,spot_open,spot_close,combined_premium_pct,iv_rank,iv_skew,oi_skew,volume_skew,call_oi_max_strike,put_oi_max_strike,spot_return_1,spot_return_3,spot_return_5,spot_trend_20,spot_trend_50,spot_trend_100,spot_volatility,spot_intraday_range_pct,call_oi_change,put_oi_change,events,event_count,event_tags,has_position,structure,entry_date,target_expiry,target_days_remaining,current_pnl,best_pnl,close_reason,close_pnl,ml_exit_prob,ml_exit_decision
2025-05-15,3,True,OPENED,,24640.6,25035.3,0.0241593143024114,0.697753643499568,-0.032220310296238,0.0536585365853658,-0.2163742690058479,24750,24650,-0.0002595660056385,-0.000858050509243,-0.0009178595515257,-0.0008179413370561,-0.0009705365386749,6.11273022183827e-05,0.0002596167747909,0.023789655234222,0.0,0.0,[],0,,False,STRANGLE,2025-05-15T09:15:00+05:30,2025-05-27T00:00:00,12.0,,,hard_exit,2669.9999999999927,3.6166105058321194e-06,HOLD
2025-05-16,4,False,,,24999.05,25013.1,0.0230508759332854,0.9676013829412504,-0.0205545661347422,0.1723236185254653,-0.0787146862195384,25000,25000,0.0001399462606359,-4.997131646433672e-05,-0.0001139273143735,-0.0001362439930443,-0.0001500253650884,-5.963982048460914e-05,0.0001085575995561,0.0044161294440544,0.0,0.0,[],0,,False,,,,,,,,,,
2025-05-19,0,True,OPENED,,24977.95,24935.35,0.021484949725658,0.524738720609369,-0.0419175923062421,0.13136448720359,-0.0605693519079345,25000,25000,4.010386902120189e-06,-0.0004850195110122,-0.0003968691434241,-0.0003239313028638,-0.0003332476232328,-0.0006041183552478,0.0001343976228401,0.0053480311063839,0.0,0.0,[],0,,True,STRANGLE,2025-05-19T09:15:00+05:30,2025-05-27T00:00:00,8.0,1640.0,1640.0,,,3.6166105058321194e-06,HOLD
2025-05-20,1,False,,,24987.3,24713.85,0.0202662952780012,0.2237660132379947,-0.0213601209492456,0.1339820644915092,-0.0091957378484892,25000,25000,0.0001517598067186,0.0002630796099136,0.0012437634580675,0.0008018809646167,0.0007368971776238,-2.148639645287237e-05,0.0002469496076629,0.0126204111688737,0.0,0.0,[],0,,True,STRANGLE,2025-05-19T09:15:00+05:30,2025-05-27T00:00:00,7.0,5180.0,5180.0,,,3.6166105058321194e-06,HOLD
2025-05-21,2,False,,,24758.8,24800.95,0.0187589867037174,0.1172717111532813,-0.0551609505282293,-0.0955074164977057,0.0256849315068493,25050,24850,-5.846208431448119e-05,3.2257869408081064e-05,0.0001411435450016,-0.0002710812545182,-0.0002548029043228,-9.470498838856784e-05,0.00020603832131,0.0097317454589197,0.0,0.0,[],0,,False,STRANGLE,2025-05-19T09:15:00+05:30,2025-05-27T00:00:00,6.0,,,target_hit,7680.0,3.6166105058321194e-06,HOLD
2025-05-22,3,True,OPENED,,24704.65,24637.0,0.0185349721611113,0.6913128331155842,-0.0313612402859007,-0.24958147080651,-0.2228260869565217,25000,24500,-0.0002272487481028,-0.0002739031194521,0.0004954354959227,0.0006644351996059,0.0017348105018832,0.0026765022179974,0.000254170425297,0.0095386900846602,0.0,0.0,[],0,,False,STRANGLE,2025-05-22T09:15:00+05:30,2025-06-03T00:00:00,12.0,,,hard_exit,5794.999999999993,3.6166105058321194e-06,HOLD
2025-05-23,4,False,,,24650.35,24845.15,0.0158882125405927,0.1356925088910529,-0.0423052341384106,0.0673772609819121,0.153200305310217,24650,24650,-0.0003460242418145,-0.000374178467035,-0.0003580905325287,-0.0003071952082386,-0.0003167872773919,-0.0004817747252287,0.000133432891945,0.011579120645283,0.0,0.0,[],0,,False,,,,,,,,,,
2025-05-26,0,True,,premium_lt_min,24994.3,24996.35,0.015925631043878,0.0,0.0063591234181728,0.2891583727896415,0.5039845136312309,25000,24800,0.0,-2.0002520317530248e-05,-0.0001420005680023,-0.0001204565684935,-0.0001031746647945,1.8458335040513615e-05,0.0001021093501808,0.0063825459997926,0.0,0.0,[],0,,False,,,,,,,,,,
2025-05-27,1,True,OPENED,,24920.1,24837.7,0.0174136540383064,0.5253299501979494,0.0408131121343948,-0.1125539842074574,-0.4413948256467941,25000,25000,-2.616921011244777e-05,0.0005438241715745,0.0006224254449134,0.0004396599051392,0.0009742525664728,0.0012110561894881,0.0001791858534081,0.0129852241922412,0.0,0.0,[],0,,False,STRANGLE,2025-05-27T09:15:00+05:30,2025-06-03T00:00:00,7.0,,,target_hit,6870.000000000007,3.6166105058321194e-06,HOLD
2025-05-28,2,True,,premium_lt_min,24809.35,24757.15,0.0159677702156646,0.897975993725217,0.0127332692810705,0.0288763400623985,-0.1539936267778958,25000,24500,0.0002121049293186,0.0002545367128807,0.0003515371669742,0.0001954386086825,-0.0001393015658855,-0.0004603922913693,0.0001305742371783,0.0047392411581771,0.0,0.0,[],0,,False,,,,,,,,,,
